kanji	katakana	meaning	
しぶとい	しぶとい	tenacious, stubborn	 MediaMissing 
司法	しほう	administration of justice	 MediaMissing 
始末	しまつ	disposal; cleaning up afterwards	 MediaMissing 
染みる	しみる	to soak; pierce	 MediaMissing 
使命	しめい	mission, errand, message	 MediaMissing 
地元	じもと	local	 MediaMissing 
視野	しや	field of vision, outlook	 MediaMissing 
弱	じゃく	delicate, supple	 MediaMissing 
社交	しゃこう	social life	 MediaMissing 
ジャズ	ジャズ	jazz	 MediaMissing 
謝絶	しゃぜつ	refusal	 MediaMissing 
社宅	しゃたく	company owned house	 MediaMissing 
若干	じゃっかん	some, few, number of	 MediaMissing 
三味線	しゃみせん	three-stringed Japanese guitar	 MediaMissing 
斜面	しゃめん	slope, slanting surface, bevel	 MediaMissing 
砂利	じゃり	gravel, ballast, pebbles	 MediaMissing 
洒落る	しゃれる	to joke, to play on words; stylish	 MediaMissing 
ジャンパー	ジャンパー	jacket, jumper	 MediaMissing 
ジャンプ	ジャンプ	jump	 MediaMissing 
ジャンボ	ジャンボ	jumbo	 MediaMissing 
ジャンル	ジャンル	genre	 MediaMissing 
主	しゅ	owner, master, god	 MediaMissing 
種	しゅ	seed; variety	 MediaMissing 
私有	しゆう	private ownership	 MediaMissing 
～宗	～しゅう	sect	 MediaMissing 
収益	しゅうえき	earnings, proceeds, returns	 MediaMissing 
修学	しゅうがく	learning	 MediaMissing 
周期	しゅうき	cycle, period	 MediaMissing 
衆議院	しゅうぎいん	Lower House, House of Representatives	 MediaMissing 
就業	しゅうぎょう	employment, starting work	 MediaMissing 
従業員	じゅうぎょういん	employee, worker	 MediaMissing 
集計	しゅうけい	totalization, aggregate	 MediaMissing 
襲撃	しゅうげき	attack, charge, raid	 MediaMissing 
収支	しゅうし	income and expenditure	 MediaMissing 
終始	しゅうし	from beginning to end; consistent(ly)	 MediaMissing 
修士	しゅうし	Masters degree program	 MediaMissing 
従事	じゅうじ	engaging, pursuing, following	 MediaMissing 
終日	しゅうじつ	all day	 MediaMissing 
充実	じゅうじつ	fullness, perfection	 MediaMissing 
収集	しゅうしゅう	gathering up, collection	 MediaMissing 
十字路	じゅうじろ	crossroads	 MediaMissing 
執着	しゅうじゃく	attachment, adhesion, tenacity	 MediaMissing 
執着	しゅうちゃく	attachment, adhesion, tenacity	 MediaMissing 
柔軟	じゅうなん	flexible	 MediaMissing 
重複	じゅうふく	duplication, repetition, overlapping	 MediaMissing 
収容	しゅうよう	accommodation; seating; custody	 MediaMissing 
従来	じゅうらい	up to now, so far, traditional	 MediaMissing 
守衛	しゅえい	security guard, doorkeeper	 MediaMissing 
主演	しゅえん	starring, playing the leading part	 MediaMissing 
主観	しゅかん	subjectivity, subject, ego	 MediaMissing 
修行	しゅぎょう	pursuit of knowledge, training, ascetic practice	 MediaMissing 
塾	じゅく	after-school (cram) school	MediaMissing  Intermediate_Japanese  Intermediate_Japanese_Ln.5 Genki_Ln.22 Genki
祝賀	しゅくが	celebration, congratulations	 MediaMissing 
宿命	しゅくめい	fate, destiny, predestination	 MediaMissing 
手芸	しゅげい	handicrafts	 MediaMissing 
主権	しゅけん	sovereignty	 MediaMissing 
主催	しゅさい	organization, sponsorship, to host	 MediaMissing 
取材	しゅざい	coverage, collecting data	 MediaMissing 
趣旨	しゅし	object, meaning	 MediaMissing 
種々	しゅじゅ	variety	 MediaMissing 
主食	しゅしょく	staple food	 MediaMissing 
主人公	しゅじんこう	protagonist	 MediaMissing 
主体	しゅたい	subject, main constituent	 MediaMissing 
主題	しゅだい	subject, theme, motif	 MediaMissing 
出演	しゅつえん	leading performer, stage appearance	 MediaMissing 
出血	しゅっけつ	bleeding	 MediaMissing 
出現	しゅつげん	appearance, arrival	 MediaMissing 
出産	しゅっさん	childbirth	 MediaMissing Intermediate_Japanese_Ln.14  Intermediate_Japanese
出社	しゅっしゃ	come to work	 MediaMissing 
出生	しゅっしょう	birth	 MediaMissing 
出生	しゅっせい	birth	 MediaMissing 
出世	しゅっせ	promotion, successful career, eminence	 MediaMissing 
出題	しゅつだい	proposing a question	 MediaMissing 
出動	しゅつどう	mobilization, action	 MediaMissing 
出費	しゅっぴ	expenses, disbursements	 MediaMissing 
出品	しゅっぴん	exhibit, display	 MediaMissing 
主導	しゅどう	main leadership	 MediaMissing 
主任	しゅにん	person in charge, responsible official	 MediaMissing  Intermediate_Japanese_Ln.8 Intermediate_Japanese
首脳	しゅのう	head, leader	 MediaMissing 
守備	しゅび	defense	 MediaMissing 
手法	しゅほう	technique	 MediaMissing 
樹木	じゅもく	trees and shrubs, arbor	 MediaMissing 
樹立	じゅりつ	establish, create	 MediaMissing 
準急	じゅんきゅう	local express (train, slower than an express)	 MediaMissing 
準じる	じゅんじる	to follow, to conform, to apply to	 MediaMissing 
～署	～しょ	department	 MediaMissing 
～症	～しょう	disease	 MediaMissing 
～証	～しょう	proof, certificate	 MediaMissing 
～嬢	～じょう	young woman	 MediaMissing 
上位	じょうい	superior, higher order	 MediaMissing 
上演	じょうえん	art performance	 MediaMissing 
城下	じょうか	land near the castle	 MediaMissing 
消去	しょうきょ	elimination, erasing	 MediaMissing 
上空	じょうくう	sky, high-altitude sky, upper air	 MediaMissing 
衝撃	しょうげき	shock, crash, impact, ballistic	 MediaMissing 
証言	しょうげん	evidence, testimony	 MediaMissing 
証拠	しょうこ	evidence, proof	 MediaMissing 
照合	しょうごう	check, verification	 MediaMissing 
詳細	しょうさい	detail, particulars	 MediaMissing 
上昇	じょうしょう	rising, ascending, climbing	 MediaMissing 
昇進	しょうしん	promotion	 MediaMissing 
称する	しょうする	to take the name of, to call oneself	 MediaMissing 
情勢	じょうせい	state of things, condition, situation	 MediaMissing 
消息	しょうそく	news, letter, circumstances	 MediaMissing 
承諾	しょうだく	consent, agreement	 MediaMissing 
情緒	じょうちょ	emotion, feeling	 MediaMissing 
情緒	じょうしょ	emotion, feeling	 MediaMissing 
象徴	しょうちょう	symbol	 MediaMissing 
小児科	しょうにか	pediatrics	 MediaMissing 
使用人	しようにん	employee, servant	 MediaMissing 
情熱	じょうねつ	passion, enthusiasm, zeal	 MediaMissing 
譲歩	じょうほ	concession, conciliation, compromise	 MediaMissing 
条約	じょうやく	treaty, pact	 MediaMissing  Intermediate_Japanese_Ln.8 Intermediate_Japanese
勝利	しょうり	victory, triumph, win	 MediaMissing 
上陸	じょうりく	landing, disembarkation	 MediaMissing 
蒸溜	じょうりゅう	distillation	 MediaMissing 
奨励	しょうれい	encouragement, promotion	 MediaMissing 
ショー	ショー	show	 MediaMissing 
除外	じょがい	exception, exclusion	 MediaMissing 
職員	しょくいん	staff member, personnel	 MediaMissing 
植民地	しょくみんち	colony	 MediaMissing 
職務	しょくむ	professional duties	 MediaMissing 
諸君	しょくん	Gentlemen!, Ladies!	 MediaMissing 
助言	じょげん	advice, suggestion	 MediaMissing  Intermediate_Japanese Intermediate_Japanese_Ln.11
徐行	じょこう	going slowly	 MediaMissing 
所在	しょざい	whereabouts	 MediaMissing 
所持	しょじ	possession, owning	 MediaMissing 
所属	しょぞく	attached to, belong to	 MediaMissing 
処置	しょち	treatment	 MediaMissing 
しょっちゅう	しょっちゅう	always, constantly	 MediaMissing 
所定	しょてい	fixed, prescribed	 MediaMissing 
所得	しょとく	income	 MediaMissing 
処罰	しょばつ	punishment	 MediaMissing 
初版	しょはん	first edition	 MediaMissing 
書評	しょひょう	book review	 MediaMissing 
処分	しょぶん	disposal, dealing, punishment	 MediaMissing 
庶民	しょみん	masses, common people	 MediaMissing 
庶務	しょむ	general affairs	 MediaMissing 
所有	しょゆう	one's possessions, ownership	 MediaMissing 
調べ	しらべ	investigation, inspection	 MediaMissing 
自立	じりつ	independence, self-reliance	 MediaMissing 
記す	しるす	to note, to write down	 MediaMissing 
指令	しれい	orders, instructions, directive	 MediaMissing 
～心	～しん	mind of ~	 MediaMissing 
陣	じん	battle formation, camp, encampment	 MediaMissing 
進化	しんか	evolution, progress	 MediaMissing 
人格	じんかく	personality, character	 MediaMissing 
審議	しんぎ	deliberation	 MediaMissing 
新婚	しんこん	newly-wed	 MediaMissing 
審査	しんさ	judging, inspection, examination	 MediaMissing 
人材	じんざい	man of talent	 MediaMissing 
紳士	しんし	gentleman	 MediaMissing 
真実	しんじつ	truth, reality	 MediaMissing 
信者	しんじゃ	believer, devotee	 MediaMissing 
真珠	しんじゅ	pearl	 MediaMissing 
進出	しんしゅつ	advancement	 MediaMissing Intermediate_Japanese_Ln.14  Intermediate_Japanese
心情	しんじょう	mentality	 MediaMissing 
新人	しんじん	new face, newcomer	 MediaMissing 
神聖	しんせい	holiness, sacredness, dignity	 MediaMissing 
親善	しんぜん	friendship	 MediaMissing 
真相	しんそう	truth, real situation	 MediaMissing 
迅速	じんそく	quick, fast, prompt	 MediaMissing 
人体	じんたい	human body	 MediaMissing 
新築	しんちく	new building, new construction	 MediaMissing 
心中	しんじゅう	double suicide	 MediaMissing 
進呈	しんてい	presentation	 MediaMissing 
進展	しんてん	progress, development	 MediaMissing 
神殿	しんでん	temple, sacred place	 MediaMissing 
進度	しんど	progress	 MediaMissing 
振動	しんどう	oscillation, vibration	 MediaMissing 
新入生	しんにゅうせい	new student, first-year student, freshman	 Intermediate_Japanese_Ln.5  MediaMissing Intermediate_Japanese
信任	しんにん	trust, confidence, credence	 MediaMissing 
神秘	しんぴ	mystery	 MediaMissing 
辛抱	しんぼう	patience, endurance	 MediaMissing 
人民	じんみん	people, public	 MediaMissing 
侵略	しんりゃく	aggression, invasion, raid	 MediaMissing 
診療	しんりょう	medical examination and treatment	 MediaMissing 
粋	すい	essence	 MediaMissing 
水源	すいげん	source of river	 MediaMissing 
推進	すいしん	propulsion, driving force	 MediaMissing 
吹奏	すいそう	playing wind instruments	 MediaMissing 
推測	すいそく	guess, conjecture	 MediaMissing 
水田	すいでん	(water-filled) paddy field	 MediaMissing 
推理	すいり	reasoning, inference, mystery or detective genre	 MediaMissing 
数詞	すうし	numeral	 MediaMissing 
崇拝	すうはい	worship, adoration	 MediaMissing 
据え付ける	すえつける	to install, to equip, to mount	 MediaMissing 
据える	すえる	to set, to lay, to place	 MediaMissing 
すがすがしい	すがすがしい	fresh, refreshing	 MediaMissing 
救い	すくい	help, aid, relief	 MediaMissing 
すくう (みずを～)	すくう (みずを～)	to scoop	 MediaMissing 
健やか	すこやか	vigorous, healthy, sound	 MediaMissing 
濯ぐ	すすぐ	to rinse, to wash out	 MediaMissing 
進み	すすみ	progress	 MediaMissing 
裾	すそ	(trouser) cuff, (skirt) hem, cut edge of a hairdo	 MediaMissing 
スタジオ	スタジオ	studio	 MediaMissing 
スチーム	スチーム	steam	 MediaMissing 
ストライキ	ストライキ	strike	 MediaMissing 
スト	スト	(abbr.) strike	 MediaMissing 
ストロー	ストロー	straw	 MediaMissing 
ストロボ	ストロボ	stroboscope (literally: strobo, strobe lamp, stroboscopic lamp)	 MediaMissing 
すばしこい	すばしこい	nimble, smart, quick	 MediaMissing 
素早い	すばやい	fast, quick	 MediaMissing 
ずばり	ずばり	decisively, unreservedly, frankly	 MediaMissing 
スプリング	スプリング	spring	 MediaMissing 
スペース	スペース	space	 MediaMissing 
ずぶぬれ	ずぶぬれ	soaked, dripping wet	 MediaMissing 
スポーツカー	スポーツカー	sports car	 MediaMissing 
澄ます	すます	to clear, to make clear, to listen for	 MediaMissing 
清ます	すます	to clear, to make clear, to listen for	 MediaMissing 
済ます	すます	to finish; to settle; to do without	 MediaMissing 
すみやか	すみやか	speedy	 MediaMissing 
スラックス	スラックス	slacks	 MediaMissing 
ずらっと	ずらっと	in a line, in a row	 MediaMissing 
ずるずる	ずるずる	dragging on, sound of sniffling	 MediaMissing 
ずれ	ずれ	difference, gap	 MediaMissing 
すれちがい	すれちがい	chance encounter	 MediaMissing 
擦れる	すれる	to rub, to chafe	 MediaMissing 
すんなり	すんなり	pass with no objection, slim, slender	 MediaMissing 
生育	せいいく	growth, development, breeding	 MediaMissing 
成育	せいいく	growth, raising	 MediaMissing 
成果	せいか	results, fruits	 MediaMissing 
正解	せいかい	correct, right answer, solution	 MediaMissing 
正義	せいぎ	justice, right, righteousness	 MediaMissing 
生計	せいけい	livelihood, living	 MediaMissing 
政権	せいけん	(political) administration, political power	 MediaMissing 
星座	せいざ	constellation	 MediaMissing 
制裁	せいさい	restraint, sanctions, punishment	 MediaMissing 
政策	せいさく	political measures, policy	 MediaMissing 
生死	せいし	life and death	 MediaMissing 
静止	せいし	stillness, repose, standing still	 MediaMissing 
誠実	せいじつ	sincere, honest, faithful	 MediaMissing 
成熟	せいじゅく	maturity, ripeness	 MediaMissing 
青春	せいしゅん	youth, springtime of life, adolescent	 MediaMissing 
清純	せいじゅん	purity, innocence	 MediaMissing 
聖書	せいしょ	Bible	 MediaMissing 
正常	せいじょう	normalcy, normality, normal	 MediaMissing 
制する	せいする	to control, to command	 MediaMissing 
整然	せいぜん	orderly, regular, well-organized	 MediaMissing 
盛装	せいそう	be dressed up, wear rich clothes	 MediaMissing 
盛大	せいだい	grand, prosperous, magnificent	 MediaMissing 
清濁	せいだく	good and evil, purity and impurity	 MediaMissing 
制定	せいてい	enactment, establishment, creation	 MediaMissing 
静的	せいてき	static	 MediaMissing 
製鉄	せいてつ	iron manufacture	 MediaMissing 
晴天	せいてん	fine weather	 MediaMissing 
正当	せいとう	just, due, proper	 MediaMissing 
制服	せいふく	uniform	 MediaMissing 
征服	せいふく	conquest, subjugation, overcoming	 MediaMissing 
製法	せいほう	manufacturing method, recipe, formula	 MediaMissing 
精密	せいみつ	precise, exact, detailed, minute	 MediaMissing 
税務署	ぜいむしょ	tax office	 MediaMissing 
制約	せいやく	limitation, constraints	 MediaMissing 
勢力	せいりょく	influence, power, might, strength	 MediaMissing 
整列	せいれつ	stand in a row, form a line	 MediaMissing 
セール	セール	sale	 MediaMissing 
急かす	せかす	to hurry, to urge on	 MediaMissing 
伜	せがれ	son, my son	 MediaMissing 
責務	せきむ	duty, obligation	 MediaMissing 
セクション	セクション	section	 MediaMissing 
世辞	せじ	flattery, compliment	 MediaMissing 
世帯	せたい	household	 MediaMissing 
是正	ぜせい	correction, revision	 MediaMissing 
世代	せだい	generation	 MediaMissing 
切開	せっかい	opening up, cutting through	 MediaMissing 
セックス	セックス	sex	 MediaMissing 
切実	せつじつ	compelling, serious, severe, acute	 MediaMissing 
接触	せっしょく	touch, contact	 MediaMissing 
接続詞	せつぞくし	conjunction	 MediaMissing 
設置	せっち	establishment, institution	 MediaMissing 
折衷	せっちゅう	compromise, cross, blending, eclecticism	 MediaMissing 
設定	せってい	establishment, creation	 MediaMissing 
説得	せっとく	persuasion	 MediaMissing 
切ない	せつない	painful, trying, sad	 MediaMissing 
絶版	ぜっぱん	out of print	 MediaMissing 
設立	せつりつ	establishment, foundation, institution	 MediaMissing 
攻め	せめ	attack, offense	 MediaMissing 
ゼリー	ゼリー	jelly	 MediaMissing 
セレモニー	セレモニー	ceremony	 MediaMissing 
世論	せろん	public opinion	 MediaMissing 
先	せん	priority, precedence, previous	 MediaMissing 
繊維	せんい	fiber, fiber, textile	 MediaMissing 
全快	ぜんかい	complete recovery of health	 MediaMissing 
宣教	せんきょう	religious mission	 MediaMissing 
宣言	せんげん	declaration, proclamation, announcement	 MediaMissing 
戦災	せんさい	war damage	 MediaMissing 
専修	せんしゅう	specialization	 MediaMissing 
戦術	せんじゅつ	tactics	 MediaMissing 
センス	センス	sense (for music, style, tact, etc.)	 MediaMissing 
潜水	せんすい	diving	 MediaMissing 
全盛	ぜんせい	height of prosperity	 MediaMissing 
先代	せんだい	family predecessor, previous age, previous generation	 MediaMissing 
先だって	せんだって	recently, the other day	 MediaMissing 
先着	せんちゃく	first arrival	 MediaMissing 
前提	ぜんてい	preamble, premise, prerequisite	 MediaMissing 
先天的	せんてんてき	inherent, congenital, hereditary	 MediaMissing 
前途	ぜんと	future prospects, outlook, the journey ahead	 MediaMissing 
戦闘	せんとう	battle, fight, combat	 MediaMissing 
潜入	せんにゅう	infiltration, sneaking in	 MediaMissing 
船舶	せんぱく	ship	 MediaMissing 
全滅	ぜんめつ	annihilation	 MediaMissing 
専用	せんよう	exclusive use, personal use	 MediaMissing 
占領	せんりょう	occupation, possession, have a room to oneself	 MediaMissing 
善良	ぜんりょう	goodness, excellence, virtue	 MediaMissing 
戦力	せんりょく	war potential	 MediaMissing 
前例	ぜんれい	precedent	 MediaMissing 
相応	そうおう	suitability, fitness	 MediaMissing 
総会	そうかい	general meeting	 MediaMissing 
創刊	そうかん	launching (e.g., newspaper, first issue)	 MediaMissing 
雑木	ぞうき	various kinds of small trees, assorted trees	 MediaMissing 
早急	そうきゅう	urgent	 MediaMissing 
早急	さっきゅう	urgent	 MediaMissing 
増強	ぞうきょう	reinforce, increase	 MediaMissing 
送金	そうきん	remittance, sending money	 MediaMissing 
走行	そうこう	running a wheeled vehicle (e.g., car, traveling)	 MediaMissing 
総合	そうごう	synthesis, generalization	 MediaMissing 
捜索	そうさく	search (esp. for someone or something missing, investigation)	 MediaMissing 
蔵相	ぞうしょう	Minister of Finance	 MediaMissing 
装飾	そうしょく	ornament	 MediaMissing 
増進	ぞうしん	promoting, increase, advance	 MediaMissing 
相対	そうたい	relative	 MediaMissing 
壮大	そうだい	magnificent, grand, majestic	 MediaMissing 
騒動	そうどう	strife, riot, rebellion	 MediaMissing 
遭難	そうなん	disaster, shipwreck, accident	 MediaMissing 
相場	そうば	market price, speculation, estimation	 MediaMissing 
装備	そうび	equipment	 MediaMissing 
創立	そうりつ	establishment, founding	 MediaMissing 
添える	そえる	to add to, to attach, to accompany	 MediaMissing 
ソース	ソース	source	 MediaMissing 
即座に	そくざに	immediately, right away	 MediaMissing 
促進	そくしん	promotion, acceleration, encouragement	 MediaMissing 
即する	そくする	to conform to, to agree with, to be adapted to,	 MediaMissing 
束縛	そくばく	restraint, restriction, confinement	 MediaMissing 
側面	そくめん	side, sidelight, lateral	 MediaMissing 
損う	そこなう	to harm, to hurt	 MediaMissing 
そこら	そこら	everywhere, somewhere	 MediaMissing 
素材	そざい	raw materials, subject matter	 MediaMissing 
阻止	そし	obstruction, check, hindrance	 MediaMissing 
訴訟	そしょう	litigation, lawsuit	 MediaMissing 
育ち	そだち	breeding, growth	 MediaMissing 
措置	そち	measure, step	 MediaMissing 
ソックス	ソックス	socks	 MediaMissing 
素っ気無い	そっけない	cold, short, curt, blunt	 MediaMissing 
外方	そっぽ	look (or turn) the other way	 MediaMissing 
備え付ける	そなえつける	to provide, to equip, to install	 MediaMissing 
備わる	そなわる	to be furnished with	 MediaMissing 
具わる	そなわる	to be furnished with	 MediaMissing 
聳える	そびえる	to rise, to tower, to soar	 MediaMissing 
素朴	そぼく	simplicity, artlessness, naivety	 MediaMissing 
背く	そむく	to run counter to, to go against	 MediaMissing 
染まる	そまる	to be dyed	 MediaMissing 
染める	そめる	to dye, to color	 MediaMissing 
そらす	そらす	to bend, to warp	 MediaMissing 
そり (～にのる)	そり (～にのる)	sleigh, sled	 MediaMissing 
反る	そる	to warp, to be warped, to curve	 MediaMissing 
それゆえ	それゆえ	therefore, for that reason, so	 MediaMissing 
ソロ	ソロ	solo	 MediaMissing 
揃い	そろい	set, suit, uniform	 MediaMissing 
ぞんざい	ぞんざい	rude, careless, slovenly	 MediaMissing 
損失	そんしつ	loss	 MediaMissing 
存続	そんぞく	duration, continuance	 MediaMissing 
ダース	ダース	dozen	 MediaMissing 
対応	たいおう	dealing with	 MediaMissing 
大家	たいか	rich family, distinguished family	 MediaMissing 
退化	たいか	degeneration, retrogression	 MediaMissing 
大概	たいがい	in general, mainly	 MediaMissing 
体格	たいかく	physique, constitution	 MediaMissing 
大金	たいきん	large amount of money	 MediaMissing 
待遇	たいぐう	treatment, reception	 MediaMissing 
対決	たいけつ	confrontation, showdown	 MediaMissing 
体験	たいけん	personal experience	 MediaMissing  Intermediate_Japanese_Ln.13 Intermediate_Japanese
対抗	たいこう	opposition, antagonism	 MediaMissing 
退治	たいじ	extermination	 MediaMissing 
大衆	たいしゅう	general public	 MediaMissing 
対処	たいしょ	deal with, cope	 MediaMissing 
退職	たいしょく	retirement (from office)	 MediaMissing 
題する	だいする	to title	 MediaMissing 
態勢	たいせい	attitude, conditions, tendency	 MediaMissing 
対談	たいだん	talk, dialogue	 MediaMissing 
大胆	だいたん	bold, daring, audacious	 MediaMissing 
対等	たいとう	equivalent	 MediaMissing 
台無し	だいなし	mess, spoiled, (come to) nothing	 MediaMissing 
滞納	たいのう	non-payment, default	 MediaMissing 
対比	たいひ	contrast, comparison	 MediaMissing 
タイピスト	タイピスト	typist	 MediaMissing 
大部	たいぶ	most (e.g., most part, greater, fairly, a good deal, much)	 MediaMissing 
大便	だいべん	feces	 MediaMissing 
代弁	だいべん	speak for another	 MediaMissing 
待望	たいぼう	long-expected, waiting	 MediaMissing 
台本	だいほん	libretto, scenario	 MediaMissing 
タイマー	タイマー	timer	 MediaMissing 
怠慢	たいまん	negligence, carelessness	 MediaMissing 
タイミング	タイミング	timing	 MediaMissing 
タイム	タイム	time	 MediaMissing 
タイムリー	タイムリー	timely, run-batted-in (baseball), RBI	 MediaMissing 
対面	たいめん	interview, meeting	 MediaMissing 
代用	だいよう	substitution	 MediaMissing 
体力	たいりょく	physical strength	 MediaMissing 
タイル	タイル	tile	 MediaMissing 
対話	たいわ	conversation, dialogue	 MediaMissing 
耐える	たえる	to endure, to put up with	 MediaMissing 
堪える	たえる	to endure, to put up with	 MediaMissing 
絶える	たえる	to die out, to become extinct	 MediaMissing 
断える	たえる	to cease, to become extinct	 MediaMissing 
打開	だかい	solution, breakthrough	 MediaMissing 
焚火	たきび	(open) fire	 MediaMissing 
妥協	だきょう	compromise, giving in	 MediaMissing 
たくましい	たくましい	burly, strong, sturdy	 MediaMissing 
巧み	たくみ	skill, cleverness	 MediaMissing 
丈	たけ	length, height	 MediaMissing 
打撃	だげき	blow, damage; batting (baseball)	 MediaMissing 
妥結	だけつ	agreement	 MediaMissing 
駄作	ださく	poor work	 MediaMissing 
足し算	たしざん	addition	 MediaMissing 
多数決	たすうけつ	majority rule	 MediaMissing 
助け	たすけ	assistance	 MediaMissing 
携わる	たずさわる	to engage, to involve	 MediaMissing 
漂う	ただよう	to drift about, to float, to hang in air	 MediaMissing 
立ち去る	たちさる	to leave, to depart	 MediaMissing 
立ち寄る	たちよる	to stop by, to drop in for a short visit	 MediaMissing 
抱っこ	だっこ	(child's) hug	 MediaMissing 
達者	たっしゃ	skillful, in good health	 MediaMissing 
脱出	だっしゅつ	escape	 MediaMissing 
脱する	だっする	to escape from, to get out	 MediaMissing 
達成	たっせい	achievement	 MediaMissing 
脱退	だったい	secession, withdrawal	 MediaMissing 
だったら	だったら	if it's the case	 MediaMissing 
立て替える	たてかえる	to pay in advance, to pay for another	 MediaMissing 
建前	たてまえ	position; stance one takes in public; principle	 MediaMissing  Intermediate_Japanese_Ln.15 Intermediate_Japanese
奉る	たてまつる	to offer, to do respectfully	 MediaMissing 
だと	だと	if it's the case	 MediaMissing 
他動詞	たどうし	transitive verb (direct object)	 MediaMissing 
辿り着く	たどりつく	to reach, to make it somehow	 MediaMissing 
辿る	たどる	to follow (road, to pursue (course), to follow up	 MediaMissing 
束ねる	たばねる	to tie up in a bundle, to control	 MediaMissing 
だぶだぶ	だぶだぶ	loose, baggy	 MediaMissing 
他方	たほう	another side, on the other hand	 MediaMissing 
多忙	たぼう	busy	 MediaMissing 
給う	たまう	to receive, to grant	 MediaMissing 
魂	たましい	soul, spirit	 MediaMissing 
溜まり	たまり	collected things, gathering place, arrears	 MediaMissing 
賜る	たまわる	to grant, to bestow	 MediaMissing 
保つ	たもつ	to keep, to preserve, to sustain	 MediaMissing 
たやすい	たやすい	easy, simple, light	 MediaMissing 
多様	たよう	diversity, variety	 MediaMissing 
だるい	だるい	sluggish, feel heavy (tired), languid	 MediaMissing  Intermediate_Japanese_Ln.12 Intermediate_Japanese
弛み	たるみ	slack, slackening	 MediaMissing 
弛む	たるむ	to slacken, to loosen, to relax	 MediaMissing 
垂れる	たれる	to hang, to droop; to drip	 MediaMissing 
タレント	タレント	talent, star, personality	 MediaMissing 
タワー	タワー	tower	 MediaMissing 
単一	たんいつ	single, simple, sole	 MediaMissing 
短歌	たんか	31-syllable Japanese poem	 MediaMissing 
担架	たんか	stretcher, litter	 MediaMissing 
短気	たんき	quick temper	 MediaMissing 
団結	だんけつ	unity, union, solidarity	 MediaMissing 
探検	たんけん	exploration, expedition	 MediaMissing 
断言	だんげん	assertion, declaration, affirmation	 MediaMissing 
短縮	たんしゅく	shortening, abbreviation, reduction	 MediaMissing 
断然	だんぜん	firmly, absolutely, definitely	 MediaMissing 
炭素	たんそ	carbon (C)	 MediaMissing 
短大	たんだい	junior college	 MediaMissing 
単調	たんちょう	monotony, monotone, dullness	 MediaMissing 
単独	たんどく	sole, single	 MediaMissing 
旦那	だんな	master (of house), husband (informal)	 MediaMissing 
短波	たんぱ	short wave	 MediaMissing 
蛋白質	たんぱくしつ	protein	 MediaMissing 
ダンプ	ダンプ	dump truck	 MediaMissing 
断面	だんめん	cross section	 MediaMissing 
弾力	だんりょく	elasticity, flexibility	 MediaMissing 
治安	ちあん	public order, security	 MediaMissing 
チームワーク	チームワーク	teamwork	 MediaMissing 
チェンジ	チェンジ	change	 MediaMissing 
違える	ちがえる	to change	 MediaMissing 
畜産	ちくさん	animal husbandry	 MediaMissing 
畜生	ちくしょう	beast, brute, damn	 MediaMissing 
蓄積	ちくせき	accumulation, accumulate, store	 MediaMissing 
地形	ちけい	landform, geographical features, topography	 MediaMissing 
知性	ちせい	intelligence	 MediaMissing 
乳	ちち	milk, breast, loop	 MediaMissing 
縮まる	ちぢまる	to be shortened, to be contracted, to shrink	 MediaMissing 
秩序	ちつじょ	order, regularity	 MediaMissing  Intermediate_Japanese_Ln.10 Intermediate_Japanese
窒息	ちっそく	suffocation	 MediaMissing 
知的	ちてき	intellectual	 MediaMissing 
着手	ちゃくしゅ	embarkation, launch	 MediaMissing 
着色	ちゃくしょく	coloring, coloring	 MediaMissing 
着席	ちゃくせき	sit down, seat	 MediaMissing 
着目	ちゃくもく	attention	 MediaMissing 
着陸	ちゃくりく	landing, touch down	 MediaMissing 
着工	ちゃっこう	start of (construction) work	 MediaMissing 
茶の間	ちゃのま	living room (Japanese style)	 MediaMissing 
茶の湯	ちゃのゆ	tea ceremony	 MediaMissing 
ちやほや	ちやほや	pamper, make a fuss of, spoil	 MediaMissing 
チャンネル	チャンネル	a channel	 MediaMissing 
宙返り	ちゅうがえり	somersault, looping-the-loop	 MediaMissing 
中継	ちゅうけい	relay, hook-up	 MediaMissing 
忠告	ちゅうこく	advice, warning	 MediaMissing 
中傷	ちゅうしょう	slander, libel, defamation	 MediaMissing 
中枢	ちゅうすう	center, mainstay, nucleus	 MediaMissing 
抽選	ちゅうせん	lottery, raffle, drawing (of lots)	 MediaMissing 
中断	ちゅうだん	interruption, suspension, break	 MediaMissing 
中毒	ちゅうどく	poisoning	 MediaMissing 
中腹	ちゅうふく	mountain side, halfway up	 MediaMissing 
中立	ちゅうりつ	neutrality	 MediaMissing 
中和	ちゅうわ	neutralize, counteract	 MediaMissing 
～著	～ちょ	written by ~	 MediaMissing 
腸	ちょう	bowels, intestines	 MediaMissing 
蝶	ちょう	butterfly	 MediaMissing 
超	ちょう	super-, ultra-, hyper-	 MediaMissing 
調印	ちょういん	signature, sign, sealing	 MediaMissing 
聴覚	ちょうかく	the sense of hearing	 MediaMissing 
長官	ちょうかん	chief, (government) secretary	 MediaMissing 
聴講	ちょうこう	lecture attendance, auditing	 MediaMissing 
徴収	ちょうしゅう	collection, levy	 MediaMissing 
聴診器	ちょうしんき	stethoscope	 MediaMissing 
